Card_id,Card_name,Card_code,Rarity,Expasion_code,Expansion_name
244176,Monkey.D.Luffy,ST01-001,Promo,up,Unnumbered Promos
244679,Brook,ST01-011,Promo,up,Unnumbered Promos
244680,Dracule Mihawk,ST03-005,Promo,up,Unnumbered Promos
244684,Jewelry Bonney,ST02-007,Promo,up,Unnumbered Promos
250561,Charlotte Pudding,ST07-008,Promo,up,Unnumbered Promos
264365,Marco,OP02-018,Promo,up,Unnumbered Promos
264366,Ms. All Sunday,OP01-079,Promo,up,Unnumbered Promos
264367,Ulti,OP01-093,Promo,up,Unnumbered Promos
264368,Koby,ST06-002,Promo,up,Unnumbered Promos
264369,Killer,OP01-039,Promo,up,Unnumbered Promos
264895,Boa Hancock,OP02-059,Uncommon,up,Unnumbered Promos
264897,Brannew,OP03-089,Rare,up,Unnumbered Promos
264903,Franky,OP01-021p,Promo,up,Unnumbered Promos
264906,Franky,OP01-021,Promo,up,Unnumbered Promos
264911,Jack,ST04-008,Promo,up,Unnumbered Promos
264914,Jinbe,ST01-005,Promo,up,Unnumbered Promos
264918,Koby,OP02-098,Promo,up,Unnumbered Promos
264929,Marshall.D.Teach,ST03-014,Promo,up,Unnumbered Promos
264932,Nami,OP01-016,Promo,up,Unnumbered Promos
264937,Nico Robin,ST01-008,Promo,up,Unnumbered Promos
264942,Roronoa Zoro,ST01-013,Promo,up,Unnumbered Promos
264943,Sanji,OP01-013,Promo,up,Unnumbered Promos
264944,Sanji,OP03-102,Rare,up,Unnumbered Promos
264946,Scratchmen Apoo,ST02-008,Rare,up,Unnumbered Promos
264953,Tony Tony.Chopper,ST01-006,Promo,up,Unnumbered Promos
264954,Trafalgar Law,OP02-035,Promo,up,Unnumbered Promos
264955,Trafalgar Law,ST03-008,Promo,up,Unnumbered Promos
264956,Uta,OP01-005,Promo,up,Unnumbered Promos
264957,Uta,OP01-005,Promo,up,Unnumbered Promos
264960,Yamato,ST09-012,Promo,up,Unnumbered Promos
272353,Monkey.D.Luffy,L,Promo,up,Unnumbered Promos
272363,Monkey.D.Luffy,L-A,Promo,up,Unnumbered Promos
282240,Shanks,ST01-120,Promo,up,Unnumbered Promos
283070,Backlight,ST11-003,Common,up,Unnumbered Promos
283072,I'm invincible,ST11-005,Common,up,Unnumbered Promos
283073,New Genesis,ST11-004,Common,up,Unnumbered Promos
294212,DON!!,,Promo,up,Unnumbered Promos
298987,Monkey.D.Luffy,ST10-006,Common,up,Unnumbered Promos
315218,Monkey.D.Luffy,OP05-060,Common,up,Unnumbered Promos
315229,DON!!,2nd,DON!!,up,Unnumbered Promos
245406,Trafalgar Law,ST03-008,Promo,promo,Promos
250646,Monkey.D.Luffy,P-001P1,Promo,promo,Promos
250647,Monkey.D.Luffy,P-001P2,Promo,promo,Promos
250648,Monkey.D.Luffy,P-001P3,Promo,promo,Promos
250650,Monkey.D.Luffy,P-001P4,Promo,promo,Promos
250651,I Smell Adventure Ahead!,P-002,Promo,promo,Promos
250652,"Eustass""Captain""Kid",P-003,Promo,promo,Promos
250653,Crocodile,P-004,Promo,promo,Promos
250654,Kaido,P-005,Promo,promo,Promos
255421,Gordon,P-013,Promo,promo,Promos
255429,Bartolomeo,P-029,Promo,promo,Promos
255430,Bartolomeo,P-018,Promo,promo,Promos
255431,Benn.Beckman,P-021,Promo,promo,Promos
255432,Bepo,P-019,Promo,promo,Promos
255433,General Franky,P-027,Promo,promo,Promos
255434,Jinbe,P-030,Promo,promo,Promos
255435,Monkey.D.Luffy,P-033,Promo,promo,Promos
255436,Portgas.D.Ace,P-028,Promo,promo,Promos
255437,Raizo,OP01-052,Promo,promo,Promos
255438,Sanji,P-034,Promo,promo,Promos
255440,Sengoku,P-032,Promo,promo,Promos
255441,Tsuru,OP02-106,Promo,promo,Promos
255442,Uta,P-031,Promo,promo,Promos
256626,Uta,P-011,Promo,promo,Promos
256627,Jellyfish Pirates,P-012,Promo,promo,Promos
256628,Koby,P-014,Promo,promo,Promos
256629,Sunny-Kun,P-015,Promo,promo,Promos
256630,Shanks,P-016,Promo,promo,Promos
256631,Trafalgar Law,P-017,Promo,promo,Promos
256632,Helmeppo,P-020,Promo,promo,Promos
256633,Monkey.D.Luffy,P-022,Promo,promo,Promos
256634,Yasopp,P-023,Promo,promo,Promos
256635,I'm Gonna Be King of the Pirates!!,P-024,Promo,promo,Promos
256636,Smoker,P-025,Promo,promo,Promos
256640,Morgan,P-026,Promo,promo,Promos
256647,Monkey.D.Luffy,P-035,Promo,promo,Promos
256650,Monkey.D.Luffy,P-036,Promo,promo,Promos
256652,Monkey.D.Luffy,P-037,Promo,promo,Promos
256657,Trafalgar Law,P-038,Promo,promo,Promos
256662,Bellamy,P-039,Promo,promo,Promos
256664,Kaido,P-040,Promo,promo,Promos
256666,Monkey.D.Luffy,P-041a,Alternate Art,promo,Promos
256669,Monkey.D.Luffy,P-041,Promo,promo,Promos
260825,Monkey.D.Luffy,P-006P2,Promo,promo,Promos
264961,Dracule Mihawk,P-052,Promo,promo,Promos
264962,Monkey.D.Garp,P-054,Promo,promo,Promos
264963,Monkey.D.Luffy,P-001,Promo,promo,Promos
267166,Portgas.D.Ace,P-028,Promo,promo,Promos
272354,Arlong,P-048,Promo,promo,Promos
272355,Usopp,P-049,Promo,promo,Promos
272356,Sanji,P-050,Promo,promo,Promos
272357,Shanks,P-051,Promo,promo,Promos
272358,Dracule Mihawk,P-052,Promo,promo,Promos
272359,Nami,P-053,Promo,promo,Promos
272360,Garp,P-054,Promo,promo,Promos
272361,Monkey.D.Luffy,P-055,Promo,promo,Promos
272362,Roronoa Zoro,P-056,Promo,promo,Promos
272364,Monkey.D.Luffy,P-047,Promo,promo,Promos
277439,Monkey.D.Luffy,P-061,Promo,promo,Promos
282244,Roronoa Zoro,P-042,Promo,promo,Promos
282245,Monet,OP05-036,Promo,promo,Promos
282246,Yamato,P-046,Promo,promo,Promos
283071,Fleeting Lullaby,P-057,Common,promo,Promos
283074,The World's Continuation,P-059,Common,promo,Promos
